Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada
2258;5052020;1;5;7;14;23;26;0;0;113;1,949,662.00;6772;46475;5,092,597,303.00;38,211,759.00;56,000,000.00;3,175,985,767.00
2259;7052020;20;27;41;54;56;58;0;0;31;9,968,234.00;3356;13,154.00;7,165,101,629.00;53,596,836.00;80,000,000.00;3,257,305,567.00
2260;9052020;12;14;34;35;37;47;0;0;91;4,551,308.00;6688;88467;7,928,044,623.00;718,351,335.00;90,000,000.00;3,366,297,424.00
2261;13052020;7;23;26;27;29;51;0;0;141;3,605,908.00;10502;69161;8,864,631,702.00;88,184,646.00;100,000,000.00;3,500,095,581.00
2262;16052020;7;8;14;23;30;46;1;1,011,953,083.00;198;3,440,561.00;12850;75734;0;1,181,554,155.00;2,000,000.00;3,679,366,886.00
2263;20052020;9;24;33;43;49;57;0;0;36;4,004,808.00;2492;82649;265,581,954.00;25,005,951.00;5,500,000.00;3,717,307,166.00
2264;23052020;2;3;8;19;29;37;0;0;73;2,524,601.00;4354;60468;2,842,476,511.00;319,650,075.00;33,000,000.00;3,765,806,075.00
2265;27052020;14;20;23;39;46;50;0;0;50;518,634.00;2926;126,607.00;3,320,165,655.00;44,976,969.00;38,000,000.00;3,834,047,381.00
2266;30052020;10;23;31;37;58;59;0;0;50;6,468,564.00;4167;11,088.00;3,915,954,426.00;56,096,676.00;45,000,000.00;3,919,160,065.00
2267;3062020;20;32;33;48;49;53;1;4,555,319,142.00;33;10,517,688.00;4064;122,006.00;0;601,995,825.00;2,500,000.00;4,010,497,882.00
2268;6062020;4;13;23;28;30;52;0;0;48;357,213.00;2953;82948;315,851,456.00;297,390,915.00;7,000,000.00;4,055,619,519.00
2269;10062020;1;11;14;23;29;55;0;0;47;3,972,616.00;3225;82707;2,151,169,398.00;323,842,365.00;26,000,000.00;4,104,754,504.00
2270;13062020;14;16;38;39;41;48;0;0;53;4,637,351.00;2707;129,705.00;2,603,921,297.00;42,628,995.00;32,000,000.00;4,169,433,348.00
2271;17062020;6;10;27;28;41;52;0;0;50;5,698,362.00;4150;98078;3,128,770,361.00;49,417,326.00;37,000,000.00;4,244,411,787.00
2272;20062020;2;5;11;24;41;49;0;0;71;4,567,097.00;5667;81742;3,726,098,605.00;562,416,255.00;45,000,000.00;4,329,744,394.00
2273;24062020;15;16;20;38;40;58;1;4,326,974,025.00;48;6,795,615.00;3830;121,667.00;0;56,575,611.00;2,500,000.00;4,415,583,742.00
2274;27062020;8;11;17;33;40;55;0;0;62;2,404,223.00;2996;71076;1,814,834,083.00;25,853,877.00;23,000,000.00;4,454,810,539.00
2275;1072020;2;4;25;36;50;53;0;0;51;4,333,989.00;3212;98306;2,222,000,899.00;383,369,175.00;27,000,000.00;4,512,977,229.00
2276;4072020;5;15;18;27;49;57;0;0;75;3,693,997.00;5403;73252;2,732,355,762.00;48,052,620.00;33,000,000.00;4,585,885,069.00
2277;8072020;10;22;23;37;53;60;0;0;89;3,199,012.00;5597;72669;3,256,825,395.00;493,816,005.00;40,000,000.00;4,660,809,303.00
2278;11072020;8;17;34;37;43;45;0;0;98;3,564,086.00;6533;76377;3,900,236,776.00;605,805,975.00;44,000,000.00;4,752,725,215.00
